Date,End_date,type,event
7/9/2016,7/19/2016,BTC History,Halving 2
9/1/2017,9/11/2017,Global,China bans domestic BTC exchange activity
10/1/2019,10/11/2019,Global,President Xi Jinping stresses the importance of blockchain investment for China’s future
3/11/2020,3/21/2020,Global,COVID Pandemic
5/11/2020,5/21/2020,BTC History,Halving 3
10/1/2020,10/11/2020,Financial,"PayPal announces users can buy, sell, and hold BTC"
1/29/2021,2/8/2021,Elon,Elon musk adds #bitcoin to his twitter bio
2/8/2021,2/18/2021,Elon,Tesla announces BTC on the balance sheet
3/24/2021,4/3/2021,Elon,Tesla accepts BTC for purchases
5/1/2021,5/11/2021,Global,China bans BTC mining
5/12/2021,5/22/2021,Elon,Tesla stops accepting BTC for purchases
6/7/2021,6/17/2021,Global,FBI gets back BTC from hackers
6/9/2021,6/19/2021,Global,El Salvador makes BTC legal tender
6/21/2021,7/1/2021,Global,China bans BTC from banks 2
8/11/2021,8/21/2021,Financial,MicroStrategy announces first purchase of BTC
